Flashback,vintage,2,King George 72 Tel Aviv
Hayo haya,vintage,1,Ben Yehuda 72 Tel Aviv
Zara,modern,2,Dizengoff 50 Tel Aviv
Bitch Please,festival,3,Dizengoff 50 Tel Aviv
Bolenat,goth,3,Shinkin 6 Tel Aviv
Ruby Bay,street,2,Menachem Begin 132 Tel Aviv
H&M,modern,1,Hasmonaim 100 Tel Aviv
Jiffa,street,3,King George 4 Tel Aviv
Street Dolls,festival,2,King George 9 Tel Aviv
Studio Pasha,formal,2,Dizengoff 50 Tel Aviv
